conference,year,session name,paper title,DOI,author list,abstract
VRST,2024,Session 7: Cognitive Aspects,Evaluating Gaze Interactions within AR for Nonspeaking Autistic Users,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Evaluating+Gaze+Interactions+within+AR+for+Nonspeaking+Autistic+Users,"Ahmadreza Nazari, Lorans Alabood, Molly Kay Rathbun, Vikram K. Jaswal, Diwakar Krishnamurthy","Nonspeaking autistic individuals often face significant inclusion barriers in various aspects of life, mainly due to a lack of effective communication means. Specialized computer software, particularly delivered via Augmented Reality (AR), offers a promising and accessible way to improve their ability to engage with the world. While research has explored near-hand interactions within AR for this population, gaze-based interactions remain unexamined. Given the fine motor skill requirements and potential for fatigue associated with near-hand interactions, there is a pressing need to investigate the potential of gaze interactions as a more accessible option. This paper presents a study investigating the feasibility of eye gaze interactions within an AR environment for nonspeaking autistic individuals. We utilized the HoloLens 2 to create an eye gaze-based interactive system, enabling users to select targets either by fixating their gaze for a fixed period or by gazing at a target and triggering selection with a physical button (referred to as a 'clicker'). We developed a system called HoloGaze that allows a caregiver to join an AR session to train an autistic individual in gaze-based interactions as appropriate. Using HoloGaze, we conducted a study involving 14 nonspeaking autistic participants. The study had several phases, including tolerance testing, calibration, gaze training, and interacting with a complex interface: a virtual letterboard. All but one participant were able to wear the device and complete the system's default eye calibration; 10 participants completed all training phases that required them to select targets using gaze only or gaze-click. Interestingly, the 7 users who chose to continue to the testing phase with gaze-click were much more successful than those who chose to continue with gaze alone. We also report on challenges and improvements needed for future gaze-based interactive AR systems for this population. Our findings pave the way for new opportunities for specialized AR solutions tailored to the needs of this under-served and under-researched population."
VRST,2024,Session 2: Navigation and Motion,Semi-Automated Guided Teleportation through Immersive Virtual Environments,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Semi-Automated+Guided+Teleportation+through+Immersive+Virtual+Environments,"Tim Weissker, Marius Meier-Krueger, Pauline Bimberg, Robert W. Lindeman, Torsten Wolfgang Kuhlen","Immersive knowledge spaces like museums or cultural sites are often explored by traversing pre-defined paths that are curated to unfold a specific educational narrative. To support this type of guided exploration in VR, we present a semi-automated, hands-free path traversal technique based on teleportation that features a slow-paced interaction workflow targeted at fostering knowledge acquisition and maintaining spatial awareness. In an empirical user study with 34 participants, we evaluated two variations of our technique, differing in the presence or absence of intermediate teleportation points between the main points of interest along the route. While visiting additional intermediate points was objectively less efficient, our results indicate significant benefits of this approach regarding the user's spatial awareness and perception of interface dependability. However, the user's perception of flow, presence, attractiveness, perspicuity, and stimulation did not differ significantly. The overall positive reception of our approach encourages further research into semi-automated locomotion based on teleportation and provides initial insights into the design space of successful techniques in this domain."
VRST,2024,Session 4: Time,Development and Validation of a 3D Pose Tracking System towards XR Home Training to Relieve Back Pain,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Development+and+Validation+of+a+3D+Pose+Tracking+System+towards+XR+Home+Training+to+Relieve+Back+Pain,"Nikolai Hepke, Moritz Scherer, Jörg Lohscheller, Steffen Mueller, Benjamin Weyers","Back pain significantly impacts society, leading to substantial economic costs and reducing individuals’ quality of life. A digital XR physiotherapist could support adherence to home-based training programs, thereby potentially enhancing treatment effectiveness. For the system to provide accurate biofeedback, which is crucial to the success if the system, it must be capable of tracking exercise execution reliably and accurately.  In this paper we present the design of a robust 4-Kinect system, capable of tracking human 3D pose, to be used in an autonomous, home-based XR rehabilitation program. The system is evaluated against OpenPose and validated using a marker-based Vicon system, considered the gold-standard, in a study involving 20 healthy participants.  The results show that the Kinects overall have a lower absolute positional error, with a median of 1.2 cm, than OpenPose, with a median of 2.0 cm and a lower median angular error of 5.2° over all keypoints (OpenPose: 5.9°). Furthermore, the time courses of the Kinect joint positions exhibit a higher correlation to the gold standard compared to the OpenPose system, as confirmed by the results of a Bland-Altman analysis. Generally, the joints of the lower body could be tracked with a higher level of accuracy than that of the upper body.  The study reveals that the multi-Kinect-system is overall more robust and tracks exercises with higher accuracy than the multi-OpenPose system, which makes it better suited for a quantitative XR training program for home use. "
VRST,2024,Session 5: Multimodality,Simulating Object Weight in Virtual Reality: The Role of Absolute Mass and Weight Distributions,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Simulating+Object+Weight+in+Virtual+Reality%3A+The+Role+of+Absolute+Mass+and+Weight+Distributions,"Alexander Kalus, Johannes Klein, Tien-Julian Ho, Niels Henze","Weight interfaces enable users of Virtual Reality (VR) to perceive the weight of virtual objects, significantly enhancing realism and enjoyment. While research on these systems primarily focused on their implementation, little attention has been given to determining the weight to be rendered by them: As the perceived weight of objects is influenced not only by their absolute mass, but also by their weight distribution and prior expectations, it is currently unknown which simulated mass provides the most realistic representation of a given object. We conducted a study, in which 30 participants chose the best fitting weight for 54 virtual object configurations, whereby we systematically varied the virtual objects' visual mass, their weight distribution, and the position of the physical mass on the grip. Our Bayesian analysis suggests that the visual weight distribution of objects does not affect which absolute physical mass best represents them, whereas the position of the provided physical mass does. Additionally, participants overweighted virtual objects with lower visual mass while underweighting objects with higher visual mass. We discuss how these findings can be leveraged by designers of weight interfaces and VR experiences to optimize realism."
VRST,2024,Session 8: Displays,Evaluating the Effects of Situated and Embedded Visualisation in Augmented Reality Guidance for Isolated Medical Assistance,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Evaluating+the+Effects+of+Situated+and+Embedded+Visualisation+in+Augmented+Reality+Guidance+for+Isolated+Medical+Assistance,"Frederick George VICKERY, Sébastien Kubicki, Charlotte Hoareau, Lucas Brand, Aurelien Duval, Seamus Thierry, Ronan Querrec","One huge advantage of Augmented Reality (AR) is its numerous possibilities of displaying information in the physical world, especially when applying Situated Analytics (SitA). AR devices and their respective interaction techniques allow for supplementary guidance to assist an operator carrying out complex procedures such as medical diagnosis and surgery or industrial maintenance and assembly. Their usage promotes user autonomy by presenting relevant information when the operator may not necessarily possess expert knowledge of every procedure and may also not have access to external help such as in a remote or isolated situation (e.g., International Space Station, middle of an ocean, desert).  In this paper, we propose a comparison of two different forms of AR visualisation : An Embedded Visualisation and a Situated Projected Visualisation, with the aim to assist operators with the most appropriate visualisation format when carrying out procedures (medical in our case). To evaluate these forms of visualisation, we carried out an experiment involving 23 participants possessing latent/novice medical knowledge of similar medical certification (Encompassing workplace safety risk management under EN ISO 14971). These participant profiles were representative of operators who are medically trained yet do not apply their knowledge every day (e.g., an astronaut in orbit, a sailor out at sea or perhaps a soldier in hostile territory).  We discuss our findings which include the advantages of Embedded Visualised Information in terms of precision compared to Situated/Projected Information with the accompanying limitations in addition to future improvements to our proposition. We conclude with the prospects of our work, notably the continuation and possibility of evaluating our proposition in a less controlled and real context in collaboration with our national space agency."
VRST,2024,Session 7: Cognitive Aspects,"A Critical Review of Virtual and Extended Reality Immersive Police Training: Application Areas, Benefits & Vulnerabilities",https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=A+Critical+Review+of+Virtual+and+Extended+Reality+Immersive+Police+Training%3A+Application+Areas%2C+Benefits+%26+Vulnerabilities,"Lena Podoletz, Mark McGill, David McIlhatton, Jill Marshall, Niamh Healy, Leonie Maria Tanczer","Training is integral to a Police officer's ability to respond swiftly and effectively to both commonly occurring and emergency situations. Virtual and Extended Reality headsets have promised to enhance police training through the delivery of immersive simulations able to be conducted anywhere, anytime, with increasing degrees of perceptual realism and plausibility. However, whilst we know much about the benefits of XR training through individual examples, little consideration has been given to holistically reviewing the available evidence regarding not just those benefits, but crucially also the potential issues posed by XR police training. In this paper, we summarise the evidenced benefits and types of XR police training through a formative targeted literature review (n=41 publications). Informed by this review, we then reflect on the prospective technical, security, social and legal issues posed by XR police training, identifying four areas where issues or vulnerabilities exist: training content, trainees / trainers, systems and devices, and state and institutional stakeholders. Across these, we highlight significant concerns around e.g. the validity and efficacy of training; the short- and long-term psychological impact and risks of trauma; the safety and privacy risks posed to trainees and trainers, in particular through data leakage, breaches and immersive attacks; and the risks to the institutions leveraging said training, potentially undermining public trust through unvalidated training. We aim to provoke further consideration of the risks posed by immersive training, encouraging  end-user communities (e.g. police forces) to more openly reflect on the risks posed, so we can ultimately move towards transparent, validated, trusted training that is evidenced to improve policing outcomes."
VRST,2024,Session 3: Technologies,Exploring Visual Conditions in Virtual Reality for the Teleoperation of Robots,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Exploring+Visual+Conditions+in+Virtual+Reality+for+the+Teleoperation+of+Robots,"Paul Christopher Gloumeau, Stephen Robert Pettifer","In the teleoperation of robots, the absence of proprioception means that visual information plays a crucial role. Previous research has investigated methods to offer optimal vantage points to operators during teleoperation, with virtual reality (VR) being proposed as a mechanism to give the operator intuitive control over the viewpoint for improved visibility and interaction. However, the most effective perspective for robot operation and the optimal portrayal of the robot within the virtual environment remain unclear. This paper examines the impact of various visual conditions on users’ efficiency and preference in controlling a simulated robot via VR. We present a user study that compares two operating perspectives and three robot appearances. The findings indicate mixed user preferences and highlight distinct advantages associated with each perspective and appearance combination. We conclude with recommendations on selecting the most beneficial perspective and appearance based on specific application requirements."
VRST,2024,Session 6: Collaboration and Games,Hands or Controllers? How Input Devices and Audio Impact Collaborative Virtual Reality,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Hands+or+Controllers%3F+How+Input+Devices+and+Audio+Impact+Collaborative+Virtual+Reality,"Alex Adkins, Ryan Canales, Sophie Joerg","Advancing virtual reality technologies are enabling real-time virtual-face to virtual-face communication. Hand tracking systems that are integrated into Head-Mounted Displays (HMD) enable users to directly interact with their environments and with each other using their hands as opposed to using controllers. Due to the novelties of these technologies our understanding of how they impact our interactions is limited. In this paper, we investigate the consequences of using different interaction control systems, hand tracking or controllers, when interacting with others in a virtual environment. We design and implement NASA's Survival on the Moon teamwork evaluation exercise in virtual reality (VR) and test for effects with and without allowing verbal communication. We evaluate social presence, perceived comprehension, team cohesion, group synergy, task workload, as well as task performance and duration.      Our findings reveal that audio communication significantly enhances social presence, perceived comprehension, and team cohesion, but it also increases effort workload and negatively impacts group synergy. The choice of interaction control systems has limited impact on various aspects of virtual collaboration in this scenario, although participants using hand tracking reported lower effort workload, while participants using controllers reported lower mental workload in the absence of audio."
VRST,2024,Session 4: Time,Motion Passwords,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=Motion+Passwords,"Christian Rack, Lukas Schach, Felix Achter, Yousof Shehada, Jinghuai Lin, Marc Erich Latoschik","This paper introduces ""Motion Passwords"", a novel biometric authentication approach where virtual reality users verify their identity by physically writing a chosen word in the air with their hand controller. This method allows combining three layers of verification: knowledge-based password input, handwriting style analysis, and motion profile recognition. As a first step towards realizing this potential, we focus on verifying users based on their motion profiles. We conducted a data collection study with 48 participants, who performed over 3800 Motion Password signatures across two sessions. We assessed the effectiveness of feature-distance and similarity-learning methods for motion-based verification using the Motion Passwords as well as specific and uniform ball-throwing signatures used in previous works. In our results, the similarity-learning model was able to verify users with the same accuracy for both signature types. This demonstrates that Motion Passwords, even when applying only the motion-based verification layer, achieve reliability comparable to previous methods. This highlights the potential for Motion Passwords to become even more reliable with the addition of knowledge-based and handwriting style verification layers. Furthermore, we present a proof-of-concept Unity application demonstrating the registration and verification process with our pretrained similarity-learning model. We publish our code, the Motion Password dataset, the pretrained model, and our Unity prototype on https://drive.google.com/drive/folders/1Zy2avoab6EZchMcxJszhvybleUBGk75N?usp=share_link ."
VRST,2024,Session 6: Collaboration and Games,HistoLab VR: A User Elicitation Study Exploring the Potential of Virtual Reality Game-based Learning for Hazard Awareness,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C10&q=HistoLab+VR%3A+A+User+Elicitation+Study+Exploring+the+Potential+of+Virtual+Reality+Game-based+Learning+for+Hazard+Awareness,"Robin Timon Hänni, Tiffany Luong, Julia Chatain, Felix Mangold, Holger Dressel, Christian Holz","Occupational medicine is a vital field for workplace safety and health but often encounters challenges in engaging students and effectively communicating subtle yet critical workplace hazards. To tackle these issues, we developed HistoLab VR, a virtual reality (VR) game that immerses participants in a histology lab environment based on real-world practice. Our comprehensive user study with 17 students and experts assessed the game's impact on hazard awareness, interest in occupational medicine, and user experience through quantitative and qualitative measures. Our findings show that HistoLab VR not just immersed participants in a relatable histology lab worker experience but that it effectively raised awareness about subtle hazards and conveyed the inherent stress of the job. We discuss our results and highlight the potential of VR as a valuable educational tool for occupational medicine training."
